id,cod_dep,departamento,cod_mun,municipio,nacidos_vivos,nacidos_vivos_atendidos_por_personal_de_salud,nacidos_muertos,nacidos_muertos_atendidos_por_personal_de_salud,nacidos_muertos_atendidos_por_partera,total_general
328,9,PANDO     ,90202,SAN PEDRO(PND)                ,2,17,0,0,0,19
329,9,PANDO     ,90203,FILADELFIA                    ,41,13,0,1,0,55
330,9,PANDO     ,90301,PUERTO GONZALO MORENO         ,69,24,1,0,0,94
331,9,PANDO     ,90302,SAN LORENZO(PND)              ,43,15,4,0,0,62
332,9,PANDO     ,90303,SENA                          ,97,5,1,1,0,104
333,9,PANDO     ,90401,NACEBE (SANTA ROSA DEL ABUNA) ,20,8,0,1,0,29
334,9,PANDO     ,90402,INGAVI (HUMAITA)              ,9,2,2,0,0,13
335,9,PANDO     ,90501,NUEVO MANOA (NUEVA ESPERANZA) ,0,9,0,0,0,9
336,9,PANDO     ,90502,VILLA NUEVA (LOMA ALTA)       ,2,19,0,0,0,21
337,9,PANDO     ,90503,EUREKA (SANTOS MERCADO)       ,4,3,0,0,0,7
